"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000070","mitotic sister chromatid segregation","56/1618","186/14562",0.301075268817204,2.70967741935484,8.29663956561626,1.22872323469007e-12,6.65599376231609e-09,6.25614135389037e-09,"CDCA8/CDC20/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PRC1/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/TENT4A/SKA1/SKA3/HNRNPU",56
"GO:0140014","mitotic nuclear division","70/1618","266/14562",0.263157894736842,2.36842105263158,7.96349850789582,2.70011609258099e-12,7.3132644367556e-09,6.87392712621802e-09,"CDCA2/CDCA8/CDC20/NFIB/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/MTBP/PRC1/BMP7/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/CHEK1/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/TENT4A/SKA1/SKA3/HNRNPU",70
"GO:0000280","nuclear division","93/1618","406/14562",0.229064039408867,2.0615763546798,7.6699862224418,4.76374256196125e-12,8.6017311527147e-09,8.08499044638827e-09,"RAD51AP1/MASTL/CDCA2/CDCA8/CDC20/NFIB/CCNA1/RAD54L/CCNE1/TTK/PLK1/EML4/STRA8/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/CKS2/MTBP/PRC1/CCNB2/BMP7/NCAPD2/BIRC5/FANCA/STAG3/SPC24/CYP26B1/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/MND1/CHEK1/PRICKLE1/MAD2L1/TRIP13/RAD51/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CALR/CHMP4C/MYBL1/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/BAG6/BRME1/TENT4A/GPR3/SKA1/SKA3/HNRNPU/FANCD2",93
"GO:0007059","chromosome segregation","90/1618","402/14562",0.223880597014925,2.01492537313433,7.2956857185407,3.95536156375348e-11,5.35654839771315e-08,5.03475891680936e-08,"CDCA2/CDCA8/CDC20/HJURP/CCNE1/TTK/HAUS6/PLK1/EML4/HAUS7/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/DIAPH3/PTTG1/PRC1/CCNB2/NCAPD2/BIRC5/FAM83D/CENPW/CENPO/STAG3/SPC24/BUB1B/TPX2/CDT1/PINX1/PLSCR1/DSN1/KIF18A/NCAPH/DLGAP5/SEH1L/OIP5/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/MND1/DPF3/CENPM/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/SMC5/KNL1/CENPU/CCSAP/ZW10/CDK1/CENPH/RIOK3/KIF18B/CENPL/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/ESCO2/SASS6/STAG1/CENPE/BAZ1B/BAG6/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU/FANCD2",90
"GO:1905818","regulation of chromosome separation","30/1618","74/14562",0.405405405405405,3.64864864864865,8.07581943809782,6.41396756996587e-11,6.94889246530102e-08,6.5314444496684e-08,"CDCA8/CDC20/TTK/PLK1/CENPF/NCAPG2/FBXO5/NCAPD2/BIRC5/SPC24/BUB1B/PLSCR1/NCAPH/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/NCAPG/AURKB/NUF2/KNL1/ZW10/SMC2/MAD2L2/INCENP/SKA1/SKA3",30
"GO:0098813","nuclear chromosome segregation","72/1618","298/14562",0.241610738255034,2.1744966442953,7.24252252648008,1.00573451352729e-10,9.0801064329622e-08,8.53462779286227e-08,"CDCA8/CDC20/CCNE1/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/PRC1/CCNB2/NCAPD2/BIRC5/FAM83D/STAG3/SPC24/BUB1B/TPX2/CDT1/PINX1/DSN1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/MND1/DPF3/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/BAG6/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU/FANCD2",72
"GO:0048285","organelle fission","97/1618","455/14562",0.213186813186813,1.91868131868132,7.03888480349528,1.24791749411391e-10,9.65709866516434e-08,9.07695777297589e-08,"RAD51AP1/MASTL/CDCA2/CDCA8/CDC20/NFIB/CCNA1/RAD54L/CCNE1/TTK/PLK1/EML4/STRA8/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/CKS2/MTBP/PRC1/CCNB2/BMP7/NCAPD2/BIRC5/FANCA/STAG3/SPC24/CYP26B1/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/MTFR2/MND1/CHEK1/MTFR1/PRICKLE1/MAD2L1/TRIP13/RAD51/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/CORO1C/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CALR/CHMP4C/MYBL1/PSRC1/KIF11/MKI67/DNM1L/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/BAG6/BRME1/TENT4A/GPR3/SKA1/SKA3/HNRNPU/FANCD2",97
"GO:0000819","sister chromatid segregation","59/1618","226/14562",0.261061946902655,2.34955752212389,7.22906668682983,1.99640026630601e-10,1.26357678527456e-07,1.18766862807595e-07,"CDCA8/CDC20/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PRC1/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/DPF3/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU",59
"GO:0045839","negative regulation of mitotic nuclear division","25/1618","56/14562",0.446428571428571,4.01785714285714,7.99962192437025,2.09935223693393e-10,1.26357678527456e-07,1.18766862807595e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/MTBP/BMP7/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/CHEK1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",25
"GO:0051304","chromosome separation","30/1618","79/14562",0.379746835443038,3.41772151898734,7.61800342712424,4.3445876832253e-10,2.35346314800315e-07,2.21208111829061e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/NCAPG2/FBXO5/NCAPD2/BIRC5/SPC24/BUB1B/PLSCR1/NCAPH/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/NCAPG/AURKB/NUF2/KNL1/ZW10/SMC2/MAD2L2/INCENP/SKA1/SKA3",30
"GO:0033047","regulation of mitotic sister chromatid segregation","24/1618","56/14562",0.428571428571429,3.85714285714286,7.57360655561681,1.3454130432889e-09,6.62554768681454e-07,6.22752429702242e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/CDK1/MAD2L2/INCENP/SKA1/SKA3/HNRNPU",24
"GO:0051784","negative regulation of nuclear division","25/1618","61/14562",0.409836065573771,3.68852459016393,7.43927411933035,1.90357819927696e-09,7.58066855300169e-07,7.12526719797697e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/MTBP/BMP7/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/CHEK1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",25
"GO:0033046","negative regulation of sister chromatid segregation","22/1618","49/14562",0.448979591836735,4.04081632653061,7.53807125196678,2.23907507565123e-09,7.58066855300169e-07,7.12526719797697e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:0033048","negative regulation of mitotic sister chromatid segregation","22/1618","49/14562",0.448979591836735,4.04081632653061,7.53807125196678,2.23907507565123e-09,7.58066855300169e-07,7.12526719797697e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","22/1618","49/14562",0.448979591836735,4.04081632653061,7.53807125196678,2.23907507565123e-09,7.58066855300169e-07,7.12526719797697e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:2000816","negative regulation of mitotic sister chromatid separation","22/1618","49/14562",0.448979591836735,4.04081632653061,7.53807125196678,2.23907507565123e-09,7.58066855300169e-07,7.12526719797697e-07,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","22/1618","50/14562",0.44,3.96,7.41248258112189,3.58066002366397e-09,1.07757974156598e-06,1.01284517745395e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:1905819","negative regulation of chromosome separation","22/1618","50/14562",0.44,3.96,7.41248258112189,3.58066002366397e-09,1.07757974156598e-06,1.01284517745395e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:0051983","regulation of chromosome segregation","38/1618","126/14562",0.301587301587302,2.71428571428571,6.83275186441105,4.7989043362985e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/NCAPG2/KIF2C/FBXO5/NCAPD2/BIRC5/SPC24/BUB1B/PLSCR1/NCAPH/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/DPF3/MAD2L1/TRIP13/NCAPG/AURKB/NUF2/SMC5/KNL1/ZW10/CDK1/SMC2/MAD2L2/INCENP/CENPE/SKA1/RMI2/SKA3/SMARCC1/HNRNPU",38
"GO:0051985","negative regulation of chromosome segregation","22/1618","51/14562",0.431372549019608,3.88235294117647,7.29011170673595,5.63935000063103e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",22
"GO:0007094","mitotic spindle assembly checkpoint signaling","21/1618","47/14562",0.446808510638298,4.02127659574468,7.33468560250688,5.78105447309371e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",21
"GO:0071173","spindle assembly checkpoint signaling","21/1618","47/14562",0.446808510638298,4.02127659574468,7.33468560250688,5.78105447309371e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",21
"GO:0071174","mitotic spindle checkpoint signaling","21/1618","47/14562",0.446808510638298,4.02127659574468,7.33468560250688,5.78105447309371e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",21
"GO:0010965","regulation of mitotic sister chromatid separation","24/1618","60/14562",0.4,3.6,7.13486286490158,7.15544396832613e-09,1.61504333235094e-06,1.51802116117515e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",24
"GO:0044772","mitotic cell cycle phase transition","85/1618","411/14562",0.206812652068127,1.86131386861314,6.26237965478166,8.15762491949162e-09,1.76759416755545e-06,1.66140765202446e-06,"EZH2/CDKN2A/ID4/CDK6/MASTL/CDCA8/CDC20/NFIB/E2F3/CCNA1/TICRR/EGFR/FOXM1/CCNE1/TTK/PLK1/MELK/RRM2/KIF14/CENPF/FBXO5/CDC7/CKS2/MTBP/CLSPN/CCNB2/ITGB1/RBL1/BLM/BIRC5/SPC24/BARD1/BUB1B/CCNA2/ORC1/GTPBP4/PINX1/UBE2S/AVEN/DLGAP5/UBE2C/HASPIN/SKP2/TERT/NDC80/ANLN/BUB1/DPF3/CHEK1/CPSF3/MAD2L1/TRIP13/PRKDC/AURKA/AURKB/E2F7/CDC25A/NUF2/SMC5/KNL1/NBN/ZW10/CUL1/MYC/CDK1/RFWD3/TPD52L1/E2F1/CHMP4C/HUS1B/ATAD5/DBF4/GPNMB/MAD2L2/INCENP/SASS6/ADAM17/BCAT1/CENPE/CDKN2C/NES/SKA1/CCNY/SKA3/SMARCC1",85
"GO:0031577","spindle checkpoint signaling","21/1618","48/14562",0.4375,3.9375,7.20701692622449,9.20586006554622e-09,1.91800553750246e-06,1.80278320392903e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",21
"GO:0051783","regulation of nuclear division","38/1618","131/14562",0.290076335877863,2.61068702290076,6.54710342517718,1.57251590101982e-08,3.15493282808309e-06,2.96540328001281e-06,"RAD51AP1/CDCA2/CDCA8/CDC20/TTK/PLK1/STRA8/CENPF/FBXO5/MTBP/BMP7/BIRC5/SPC24/BUB1B/DLGAP5/UBE2C/HASPIN/NEK2/NDC80/LRP5/BUB1/CHEK1/MAD2L1/TRIP13/AURKA/AURKB/NUF2/KNL1/ZW10/BORA/CALR/MKI67/MAD2L2/INCENP/TGFA/GPR3/SKA1/SKA3",38
"GO:0051306","mitotic sister chromatid separation","24/1618","63/14562",0.380952380952381,3.42857142857143,6.82971747519548,2.23167319257563e-08,4.31749060149363e-06,4.05812151597304e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",24
